Question,Answer
what is the @ sign called?,"The at sign @ is also commonly called the at symbol, ampersat, apetail or commercial at in English—and less commonly a wide range of other terms."
what is the actresses name that played in walk that line?,"The film walk that line was nominated for five Academy Awards including Best Actor (Joaquin Phoenix), Best Actress (Reese Witherspoon, which she won), and Best Costume Design ( Arianne Phillips )."
what is the average american income?,"U.S. median household income fell from $51,144 in 2010 to $50,502 in 2011."
what is the capacity of the cowboy stadium?,"The stadium seats 85,000, making it the third largest stadium in the NFL by seating capacity."
what is the capital city of california.?,Sacramento is the capital city of the U.S. state of California and the seat of government of Sacramento County.
what is the color puce?,"Puce (often misspelled as ""puse"", ""peuse"" or ""peuce"") is defined in the United States as a brownish-purple color."
"what is the concept of ""wellness"" ?","Wellness is generally used to mean a healthy balance of the mind, body and spirit that results in an overall feeling of well-being."
what is the controlled substance act known as?,The Controlled Substances Act (CSA) was enacted into law by the Congress of the United States as Title II of the Comprehensive Drug Abuse Prevention and Control Act of 1970.
what is the defensive line in football called?,"Within those platoons, various specific positions exist depending on what the player's main job is."
what is the definition of a hung jury?,"A hung jury or deadlocked jury is a jury that cannot, by the required voting threshold, agree upon a verdict after an extended period of deliberation and is unable to change its votes."
what is the definition of a map?,"A map is a visual representation of an areaa symbolic depiction highlighting relationships between elements of that space such as objects , regions , and themes."
what is the disease osteonecrosis of the jaw?,Osteonecrosis of the jaw (ONJ) is a severe bone disease that affects the maxilla and the mandible.
What is the disk defragmenter tool?,"In the maintenance of file systems , defragmentation is a process that reduces the amount of fragmentation."
what is the erb/heart?,"In cardiology, Erb's point refers to the third intercostal space on the left sternal border where S2 is best auscultated."
what is the federal death tax?,"The estate tax in the United States is a tax imposed on the transfer of the ""taxable estate "" of a deceased person, whether such property is transferred via a will , according to the state laws of intestacy or otherwise made as an incident of the death of the owner, such as a transfer of property from an intestate estate or trust, or the payment of certain life insurance benefits or financial account sums to beneficiaries."
what is the female symbol called?,"The two standard gender symbols denoting male ♂ and female ♀ are derived from astrological symbols , denoting the classical planets Mars and Venus , respectively."
what is the format of the canadian citizenship test?,"The test is available in both French and English , the official languages of Canada."
what is the formula for calcium nitrate?,"Calcium nitrate, also called Norgessalpeter (Norwegian saltpeter), is the inorganic compound with the formula Ca(NO3)2."
What is the function of albumin?,"Albumin transports hormones, fatty acids, and other compounds, buffers pH, and maintains osmotic pressure , among other functions."
what is the function of the hard palate?,Also on the anterior portion of the roof of the hard palate is the Rugae which are the irregular ridges in the mucous membrane that help facilitate the movement of food backwards towards the pharynx.
what is the function of the liver?,"The liver has a wide range of functions, including detoxification , protein synthesis , and production of biochemicals necessary for digestion."
what is the function of the vas deferens?,"The vas deferens (plural: vasa deferentia), also called ductus deferens ( Latin : ""carrying-away vessel""; plural: ductus deferentes), is part of the male anatomy of many vertebrates ; they transport sperm from the epididymis in anticipation of ejaculation."
what is the fundamental theorem of calculus used for?,The fundamental theorem of calculus is a theorem that links the concept of the derivative of a function with the concept of the integral.
what is the gdp for greenland 2010?,"GDP per capita is similar to the average European economies but the economy is critically dependent upon substantial support from the Danish government, which supplies about half the revenues of the home rule government who in turn employ about 8,000 Greenlanders out of a labor force of 40,156 (Jan. 2012)."
what is the great basin area?,The Great Basin is the largest area of endorheic watersheds in North America.
what is the highest point in oahu?,"The highest point is Mt. Ka'ala in the Waianae Range, rising to above sea level."
what is the ingredient in mustard?,"Mustard (or yellow sauce) is a condiment made from the seeds of a mustard plant (white or yellow mustard, Sinapis hirta ; brown or Indian mustard, Brassica juncea ; or black mustard, B. nigra )."
what is the kanji for language?,"Kanji (; ) are the adopted logographic Chinese characters ( hanzi ) that are used in the modern Japanese writing system along with hiragana (ひらがな, ), katakana (カタカナ, ), Hindu-Arabic numerals , and the occasional use of the Latin alphabet."
what is the la tour de france?,"The Tour de France () is an annual multiple stage bicycle race primarily held in France , while also occasionally making passes through nearby countries."
what is the largest credit union?,"Navy Federal is the largest natural member (or retail) credit union in the world, both in asset size and in membership."
What Is the Largest Whale?,"At in length and or more in weight, it is the largest known animal to have ever existed."
what is the latest season of psych?,"Psych began its seventh season on February 27, 2013."
WHAT IS THE LENGTH OF A NAUTICAL MILE?,"By international agreement, the length of a nautical mile has been set at 1,852 metres exactly (about 6,076 feet)."
what is the location of coldwater ms?,"Coldwater is a small town in Tate County , Mississippi."
what is the lowest temperature ever recorded in antarctica?,Antarctica has the lowest naturally occurring temperature ever recorded on the ground on Earth: −89.2 °C (−128.6 °F) at Vostok Station.
what is the main component of vaccines?,"The agent stimulates the body's immune system to recognize the agent as foreign, destroy it, and ""remember"" it, so that the immune system can more easily recognize and destroy any of these microorganisms that it later encounters."
what is the measurements of saturn's moons?,"Saturn has 62 moons with confirmed orbits, 53 of which have names and only 13 of which have diameters larger than 50 kilometers."
what is the minimalist trend?,"Minimalism describes movements in various forms of art and design, especially visual art and music , where the work is set out to expose the essence or identity of a subject through eliminating all non-essential forms, features or concepts."
what is the mortality rate of sepsis?,The mortality rate from septic shock is approximately 25-50%.
what is the name for an old horse-drawn vehicle?,"A carriage is a wheeled vehicle for people, usually horse-drawn; litters (palanquins) and sedan chairs are excluded, since they are wheelless vehicles."
what is the name of chris cornell's band?,"Chris Cornell (born Christopher John Boyle; July 20, 1964) is an American rock musician best known as the lead vocalist and rhythm guitarist for Soundgarden and as the former lead vocalist for Audioslave."
what is the name of mountains along coastal california?,"The other three coastal California mountain ranges are the Transverse Ranges , Peninsular Ranges and the Klamath Mountains."
"What is the name of the late Major League, the old professor?","Charles Dillon ""Casey"" Stengel (; July 30, 1890 – September 29, 1975), nicknamed ""The Old Perfessor"", was an American Major League Baseball outfielder and manager."
what is the oath of allegiance of the united states?,"The United States Oath of Allegiance (officially referred to as the ""Oath of Allegiance,"" 8 C.F.R. Part 337 (2008)) is an oath that must be taken by all immigrants who wish to become United States citizens."
what is the official language of america?,The most commonly used language is English.
what is the oregon institute of technology?,"Oregon Institute of Technology, also known as Oregon Tech or OIT, is one of seven Universities in the Oregon University System , and the only public institute of technology in the Pacific Northwest."
what is the organic layer in an amoled screen?,This layer of organic semiconductor is situated between two electrodes.
what is the origin of fiona?,"The name Fiona was invented, and first used, by the Scottish poet James Macpherson (1736–96), author of the Ossian poems, which he claimed were translations from ancient Gaelic sources (sources, when challenged, he never produced)."
what is the plot of the shawshank redemption?,"Adapted from the Stephen King novella Rita Hayworth and Shawshank Redemption , the film tells the story of Andy Dufresne, a banker who spends nearly two decades in Shawshank State Prison for the murder of his wife and her lover despite his claims of innocence."
what is the political tea party?,"The Tea Party movement is an American political movement that advocates strict adherence to the United States Constitution , reducing U.S. government spending and taxes , and reduction of the U.S. national debt and federal budget deficit."
what is the population of algoma wi for 2010?,"The population was 3,167 at the 2010 census."
what is the population of center tx?,"The population was 5,193 at the 2010 census."
what is the population of san francisco?,"San Francisco is the fourth most populous city in California, after Los Angeles , San Diego and San Jose , and the 14th most populous city in the United States—with a population of 805,235 as of the 2010 Census."
what is the prognosis of stomach cancer?,Prognosis is poor (5-year survival <5 to 15%) because most patients present with advanced disease.
What is the prostate for?,"The prostate (from Greek προστάτης – prostates, literally ""one who stands before"", ""protector"", ""guardian"") is a compound tubuloalveolar exocrine gland of the male reproductive system in most mammals."
what is the purpose of child support?,"In family law and public policy, child support (or child maintenance) is an ongoing, periodic payment made by a parent for the financial benefit of a child following the end of a marriage or other relationship."
What is the purpose of North American Free Trade Agreement?,"The North American Free Trade Agreement (NAFTA) is an agreement signed by Canada , Mexico , and the United States , creating a trilateral trade bloc in North America."
what is the role of heredity?,Heredity is the passing of traits to offspring from its parents or ancestor.
what is the rule of the 9s?,"In adults, the ""rule of 9s"" is used to determine the total percentage of area burned for each major section of the body."
what is the scientific name of a cardinal bird?,The Northern Cardinal (Cardinalis cardinalis) is a North American bird in the genus Cardinalis ; it is also known colloquially as the redbird or common cardinal.
what is the si unit of pressure?,Everyday pressures are often stated in the si unit of kilopascals (1 kPa = 1000 Pa).
what is the sign for degrees?,"The degree symbol (°) is a typographical symbol that is used, among other things, to represent degrees of arc (e.g. in geographic coordinate systems ), hours (in the medical field), or degrees of temperature."
What is the significance of Good Friday?,Good Friday is a religious holiday observed primarily by Christians commemorating the crucifixion of Jesus Christ and his death at Calvary.
what is the singer Stevie Wonders full name?,"Stevland Hardaway Morris (born May 13, 1950 as Stevland Hardaway Judkins), known by his stage name Stevie Wonder, is an American singer, songwriter, and multi-instrumentalist, a child prodigy who developed into one of the most creative musical figures of the late 20th century."
what is the social norm approach?,"The social norms approach, or social norms marketing, is an environmental strategy gaining ground in health campaigns."
what is the source of geothermal energy?,The Geothermal energy of the Earth's crust originates from the original formation of the planet (20%) and from radioactive decay of minerals (80%).
What is the the North American Free Trade Agreement?,"The North American Free Trade Agreement (NAFTA) is an agreement signed by Canada , Mexico , and the United States , creating a trilateral trade bloc in North America."
what is the use of a sales invoice?,"An invoice or bill is a commercial document issued by a seller to a buyer , indicating the products , quantities, and agreed prices for products or services the seller has provided the buyer."
what is three phase electrical?,"Three-phase electric power is a common method of alternating-current electric power generation , transmission , and distribution."
what is tofu made of?,"Tofu, also called bean curd, is a food made by coagulating soy juice and then pressing the resulting curds into soft white blocks."
what is vat tax?,A value added tax (VAT) is a form of consumption tax.
what is vitamin a for?,"Vitamin A has multiple functions, it is important for growth and development, for the maintenance of the immune system and good vision."
what is vitamin b12 used for?,"Vitamin B12, vitamin B12 or vitamin B-12, also called cobalamin, is a water-soluble vitamin with a key role in the normal functioning of the brain and nervous system , and for the formation of blood."
what is water jet propulsion?,"Unlike a powerboat or motorboat that uses a propeller in the water below or behind the boat, a jetboat draws the water from under the boat into a pump inside the boat, then expels it through a nozzle at the stern."
what is white chocolate made of?,"White chocolate commonly consists of cocoa butter , sugar , milk solids and salt , and is characterized by a pale yellow or ivory appearance."
what is.17 hmr caliber?,".17 Hornady Magnum Rimfire, commonly known as the.17 HMR, is a rimfire rifle cartridge developed by the ammunition company Hornady in 2002."
what it is a pilot study?,"A pilot experiment, also called a pilot study, is a small scale preliminary study conducted in order to evaluate feasibility, time, cost, adverse events, and effect size (statistical variability) in an attempt to predict an appropriate sample size and improve upon the study design prior to performance of a full-scale research project."
what it takes aerosmith album?,"""What It Takes"" is a power ballad by American hard rock band Aerosmith."
what kind of books does debbie macomber writes?,"Debbie Macomber (born October 22, 1948 in Yakima, Washington ) is a best-selling American author of over 150 romance novels and contemporary women's fiction."
what kind of company is Microsoft?,"Microsoft Corporation is an American multinational software corporation headquartered in Redmond , Washington that develops, manufactures, licenses, and supports a wide range of products and services related to computing."
what kind of cut is tri tip?,The tri-tip is a cut of beef from the bottom sirloin primal cut.
what kind of earthquake was haiti?,"The 2010 Haiti earthquake was a catastrophic magnitude 7.0 Mw earthquake , with an epicenter near the town of Léogâne ( Ouest Department ), approximately west of Port-au-Prince , Haiti's capital."
what kind of fish is tilapia?,Tilapia is the common name for nearly a hundred species of cichlid fish from the tilapiine cichlid tribe.
what kind of horse was mr ed?,"The stars of the show were Mister Ed, a palomino horse who could ""talk"", played by gelding Bamboo Harvester and voiced by former Western star Allan Lane (who went uncredited for the entire length of the series), and his owner, an eccentric and enormously klutzy , yet friendly, architect named Wilbur Post ( Alan Young )."
what kind of literature did john steinbeck writing?,"As the author of twenty-seven books, including sixteen novels, six non-fiction books, and five collections of short stories, Steinbeck received the Nobel Prize for Literature in 1962."
what kind of people are on the show skins?,"Skins is a British teen drama that follows the lives of a group of teenagers in Bristol , South West England , through the two years of sixth form."
What kind of personality test is the MBTI?,The Myers-Briggs Type Indicator (MBTI) assessment is a psychometric questionnaire designed to measure psychological preferences in how people perceive the world and make decisions.
"What kind of poem is ""This is Just to Say""?","""This Is Just To Say"" (1934) is a famous imagist poem by William Carlos Williams."
what kind of school is MIT?,"The MIT Sloan School of Management (also known as MIT Sloan or Sloan) is the business school of the Massachusetts Institute of Technology , in Cambridge , Massachusetts , USA."
what languages are spoken in south africa?,"South Africa has eleven official languages : Afrikaans , English , Ndebele , Northern Sotho , Sotho , Swazi , Tswana , Tsonga , Venda , Xhosa and Zulu."
what made the civil war different from others?,"The civil war remains the deadliest war in American history , resulting in the deaths of an estimated 750,000 soldiers and an undetermined number of civilian casualties."
what makes a dwarf planet?,A dwarf planet is a planetary-mass object that is neither a planet nor a satellite.
what makes of the united states?,"The United States of America (USA or U.S.A.), commonly called the United States (US or U.S.) or America, is a federal republic consisting of fifty states and a federal district."
what measurement is a furlong?,"A furlong is a measure of distance in imperial units and U.S. customary units equal to one-eighth of a mile , equivalent to 220 yards , 660 feet , 40 rods , or 10 chains."
what month is the president inaugurated?,"The day a presidential inauguration occurs is known as ""Inauguration Day"" and occurs on January 20 (or 21st if the 20th is a Sunday)."
what motor does a 2001 monte carlo?,"The Monte Carlo SS was revived from 2000 to 2007 and initially powered by 3.8-liter V6 (supercharged in 2004–2005), later to be replaced by a 5.3-liter V8 for 2006–2007."
what mountains are on appalachian trail?,"The Appalachian National Scenic Trail, generally known as the Appalachian Trail or simply the A.T., is a marked hiking trail in the eastern United States extending between Springer Mountain in Georgia and Mount Katahdin in Maine."
what movement was elizabeth cady stanton a part of?,"Elizabeth Cady Stanton (November 12, 1815 – October 26, 1902) was an American social activist , abolitionist, and leading figure of the early women's rights movement."
what nationality is kris jenner?,"Kristen Mary ""Kris"" Jenner (née Houghton, previously Kardashian; born November 5, 1955) is an American socialite, author and television personality."
what nationality is wendy williams?,"Wendy Williams Hunter (born Wendy Joan Williams; July 18, 1964) is an American media personality , actress and author."
what naturally occurring isotopes does cobalt have?,"Naturally occurring cobalt (Co) is composed of 1 stable isotope , 59Co. 28 radioisotopes have been characterized with the most stable being 60Co with a half-life of 5.2714 years, 57Co with a half-life of 271.79 days, 56Co with a half-life of 77.27 days, and 58Co with a half-life of 70.86 days."
what order is the moth?,"A moth is an insect related to the butterfly , both being of the order Lepidoptera."
what part of beef are rouladen cut from?,The cut is usually topside beef or silverside since this is the cheaper cut.
what part of the government governs the US post office?,"The United States Postal Service (USPS), also known as the Post Office and U.S. Mail, is an independent agency of the United States federal government responsible for providing postal service in the United States."
what part of the pig do pork chops come from?,"A pork chop is a chop of pork (a meat chop ) cut perpendicularly to the spine of the pig and usually containing a rib or part of a vertebra, served as an individual portion."
what part of the pig is bacon?,"Bacon is usually made from side and back cuts of pork, except in the United States, where it is almost always prepared from pork belly (typically referred to as ""streaky"", ""fatty"", or ""American style"" outside of the US and Canada)."
what part of the plant are avocados?,Avocado or alligator pear also refers to the fruit ( botanically a large berry that contains a single seed) of the tree.
what people used mayan numeral system?,Maya numerals are a vigesimal ( base - twenty ) numeral system used by the Pre-Columbian Maya civilization.
what percentage of the human body is water?,"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight."
what percentage of water in in the body?,"Arthur Guyton 's Textbook of Medical Physiology states that ""the total amount of water in a man of average weight (70 kilograms) is approximately 40 litres, averaging 57 percent of his total body weight."
what president made decision to buy louisiana?,The purchase of the territory of Louisiana took place during the presidency of Thomas Jefferson.
what president was theodore roosevelt?,"Roosevelt, Jr. ( ; October 27, 1858—January 6, 1919) was the 26th President of the United States (1901–1909)."
what produces calcitonin?,"Calcitonin (also known as thyrocalcitonin) is a 32-amino acid linear polypeptide hormone that is produced in humans primarily by the parafollicular cells (also known as C-cells) of the thyroid , and in many other animals in the ultimobranchial body."
what produces primary xylem?,"The word xylem is derived from the Greek word ξύλον (xylon), meaning ""wood""; the best-known xylem tissue is wood , though it is found throughout the plant."
what radio station are the boston bruins on?,"The Boston Bruins Radio Network is a 25-station (17 A.M., 8 F.M. plus 2 F.M. translators) CBS Radio network which carries live game broadcasts of the Boston Bruins."
What region of France is Montargis in?,The town is located about south of Paris and east of Orléans in the Gâtinais.
what relates to erosion?,"Erosion is the process by which soil and rock are removed from the Earth's surface by exogenetic processes such as wind or water flow, and then transported and deposited in other locations."
what religion is primary in africa?,The continent's various populations and individuals are mostly adherents of Christianity or Islam.
what religion is westminster abbey?,"The Collegiate Church of St Peter at Westminster, popularly known as Westminster Abbey, is a large, mainly Gothic church, in the City of Westminster , London , located just to the west of the Palace of Westminster."
what role do ombudsman play in the swedish government?,"An ombudsman is an official, usually appointed by the government or by parliament but with a significant degree of independence, who is charged with representing the interests of the public by investigating and addressing complaints of maladministration or violation of rights."
what school did oprah winfrey help?,"The Oprah Winfrey Leadership Academy for Girls - South Africa is a female boarding school founded in January 2007 and located in Henley on Klip near Meyerton , south of Johannesburg , South Africa."
what school did Zach Thomas play for before making it in to the NFL?,"Zach Thomas played college football for Texas Tech University , and was recognized as an All-American."
what school district is alvin in?,"Alvin Independent School District is a school district based in Alvin , Texas ( USA )."
what season is  dexter on?,"After months of rumors, on April 18, 2013, Showtime announced via social media that season eight would be the final season of Dexter."
what separates me from you album?,What Separates Me from You is the fourth studio album by American metalcore / pop punk band A Day to Remember.
what song is sung in 6 foot 7 foot?,"""6 Foot 7 Foot"" (also styled as ""6'7"") is a song by American rapper Lil Wayne featuring label mate, Cory Gunz."
what south dakota county is wakonda in?,"Wakonda is a town in Clay County , South Dakota , United States."
what spanish speaking countries have the most world cup titles?,"The other World Cup winners are Italy , with four titles; Germany , with three titles; Argentina and inaugural winners Uruguay , with two titles each; and England , France , and Spain , with one title each."
what species is a spider?,Spiders ( order Araneae) are air-breathing arthropods that have eight legs and chelicerae with fangs that inject venom.
what state is area code 419?,North American telephone area codes 419 and 567 serve the northwest quadrant of the U.S. state of Ohio.
what state is jakarta in?,"Jakarta (), officially known as the Special Capital Region of Jakarta (), is the capital and largest city of Indonesia."
what state is milwaukee in?,"Milwaukee is the largest city in the U.S. state of Wisconsin , the 28th most populous city in the United States , and 39th most populous region in the United States."
what state is new england in?,"New England is a region in the northeastern corner of the United States consisting of the six states of Maine , New Hampshire , Vermont , Massachusetts , Rhode Island , and Connecticut."
what state is new orleans in?,"New Orleans ( or , locally or ; ) is a major United States port and the largest city and metropolitan area in the state of Louisiana."
what state is pike's peak in?,"Pikes Peak State Park is a state park of Iowa , USA, featuring a bluff overlooking the Upper Mississippi River opposite the confluence of the Wisconsin River."
what state is the capital in?,"Washington, D.C. has been the capital of the United States since 1800."
what state was john mccain a senator in during the 2008 election?,"Democrat Barack Obama , then the junior Senator from Illinois , defeated Republican John McCain , the senior Senator from Arizona."
what state was the civil war in?,"The American Civil War (ACW), also known as the War between the States or simply the Civil War (see naming ), was a civil war fought from 1861 to 1865 between the United States (the ""Union"" or the ""North"") and several Southern slave states that declared their secession and formed the Confederate States of America (the ""Confederacy"" or the ""South"")."
what states allow same sex marriage?,"As of May 2013, ten states— Connecticut , Iowa , Maine , Maryland , Massachusetts , New Hampshire , New York , Rhode Island , Vermont , and Washington —as well as the District of Columbia and three Native American tribes —have legalized same-sex marriage, representing 16.1% of the U.S. population."
what states are on the east coast?,"The states which have shoreline on the East Coast are, from north to south, the U.S. states of Maine , New Hampshire , Massachusetts , Rhode Island , Connecticut , New York , New Jersey , Delaware , Maryland , Virginia , North Carolina , South Carolina , Georgia , and Florida."
what states does interstate 70 travel through?,"Interstate 70 (I-70) is an Interstate Highway in the United States that runs from Interstate 15 near Cove Fort, Utah , to a Park and Ride near Baltimore, Maryland."
what states has the electric chair?,"As of 2010, electrocution is an optional form of execution in Alabama , Florida , South Carolina and Virginia."
what states have legalized prostitution?,"Currently, Nevada is the only state to allow brothel prostitution, the terms of which are stipulated in the Nevada Revised Statutes."
what structure is disulfide bonds?,"In chemistry , a disulfide bond (Br.E. disulphide bond) is a covalent bond , usually derived by the coupling of two thiol groups."
what teams won super bowl?,"The Pittsburgh Steelers have won the most Super Bowls with six championships (record 6–2), while both the Dallas Cowboys and San Francisco 49ers have five wins each (Cowboys 5–3; 49ers 5–1)."
what temperature is a salt ice bath?,"A cooling bath, in laboratory chemistry (often but not always organic chemistry ) practice, is a liquid mixture which is used to maintain low temperatures, typically between 13 °C and −196 °C."
what tensions preceded the berlin blockade?,"Their aim was to force the western powers to allow the Soviet zone to start supplying Berlin with food and fuel, thereby giving the Soviets practical control over the entire city."
what the atmosphere on mercury?,"Mercury has a very tenuous and highly variable atmosphere (surface-bound exosphere ) containing hydrogen , helium , oxygen , sodium , calcium , potassium and water vapor , with a combined pressure level of about 10−14 bar (1 nPa )."
what the names of destiny's child?,"Destiny's Child was an American R&B girl group whose final, and perhaps most recognizable, line-up comprised Beyoncé Knowles , Kelly Rowland and Michelle Williams."
what to make with linen?,"Many products are made of linen: aprons, bags, towels (swimmers, bath, beach, body and wash towels), napkins, bed linens, linen tablecloths, runners, chair covers, and men's & women's wear."
what town is laurel hollow ny in?,"Laurel Hollow is a village in the Town of Oyster Bay in Nassau County, New York in the United States."
what triggered the civil war?,"The war had its origin in the issue of slavery , especially the extension of slavery into the western territories."
what two empires fought to control afghanistan?,"In the late 19th century, Afghanistan became a buffer state in the "" Great Game "" between the British and Russian empires."
what type of batteries are 357 (LR44)?,"LR44 is the IEC designation for an alkaline 1.5 volt button cell , commonly used in small LED flashlights , digital thermometers , calculators , calipers , watches , clocks , toys and laser pointers."
what type of business is walmart?,"Wal-Mart Stores, Inc. (), branded as Walmart, is an American multinational retail corporation that runs chains of large discount department stores and warehouse stores."
what type of ecosystem does stingrays live in?,"Stingrays are common in coastal tropical and subtropical marine waters throughout the world, and also includes species found in warmer temperate oceans, such as Dasyatis thetidis , and those found in the deep ocean , such as Plesiobatis daviesi."
what type of game is heavy rain?,Heavy Rain is an interactive drama action-adventure video game created by French developer Quantic Dream exclusively for the PlayStation 3.
what type of land is savannah?,"A savanna, or savannah, is a grassland ecosystem characterized by the trees being sufficiently widely spaced so that the canopy does not close."
what video format will play in a DVD player?,"Discs using the DVD-Video specification require a DVD drive and an H.262/MPEG-2 Part 2 decoder (e.g., a DVD player, or a computer DVD drive with a software DVD player)."
what war led to Pearl Harbor?,"War between Japan and the United States had been a possibility that each nation's military forces planned for since the 1920s, though real tension did not begin until the 1931 invasion of Manchuria by Japan."
"What was ""Freedom Summer""?","Freedom Summer (also known as the Mississippi Summer Project) was a campaign in the United States launched in June 1964 to attempt to register as many African American voters as possible in Mississippi , which had historically excluded most blacks from voting."
what was bernie madoff selling?,"Bernard Lawrence ""Bernie"" Madoff (; born April 29, 1938) is an American former stockbroker , investment advisor , financier , and white collar criminal."
"What was Captain Ahab's Ship in the novel ""Moby Dick""?","The story tells the adventures of wandering sailor Ishmael , and his voyage on the whaleship Pequod , commanded by Captain Ahab."
what was Coco Chanel's real first name?,"Gabrielle ""Coco"" Bonheur Chanel (August 19, 1883 – January 10, 1971) was a French fashion designer and founder of the Chanel brand."
what was nixon accused of?,"The Watergate scandal was a political scandal that occurred in the United States in the 1970s as a result of the June 17, 1972 break-in at the Democratic National Committee headquarters at the Watergate office complex in Washington, D.C., and the Nixon administration's attempted cover-up of its involvement."
what was the actress who played the pink power ranger?,"Pink power ranger was played by actress Amy Jo Johnson during the first three seasons of the show, plus on the two feature films of the franchise."
what was the cash and carry lend lease?,The Lend Lease act was an act where the United States had supported its allies.
what was the city of Mithridates?,"Mithridates VI or Mithradates VI (), from Old Persian Mithradatha, ""gift of Mithra ""; 134–63 BC, also known as Mithradates the Great (Megas) and Eupator Dionysius, was king of Pontus and Armenia Minor in northern Anatolia (now Turkey ) from about 120–63 BC."
what was the date of pearl harbor?,"The attack on Pearl Harbor (called Hawaii Operation or Operation AI by the Japanese Imperial General Headquarters (Operation Z in planning) and the Battle of Pearl Harbor) was a surprise military strike conducted by the Imperial Japanese Navy against the United States naval base at Pearl Harbor , Hawaii, on the morning of December 7, 1941 (December 8 in Japan)."
what was the first honda car?,The Honda S600 is an automobile manufactured by Honda.
what was the first year of kentucky derby?,"Unlike the Preakness and Belmont Stakes, which took hiatuses in 1891-1893 and 1911-1912 respectively, the Kentucky Derby has been run every consecutive year since 1875."
what was the name of the uss john kennedy before?,"USS John F. Kennedy (CV-67) (formerly CVA-67) is the only ship of her class, a subclass of the Kitty Hawk-class aircraft carrier , and the last conventionally powered carrier built for the United States Navy."
what was the Name the first electronic handheld calculator?,The ANITA Mark VII and ANITA Mark VIII calculators were launched simultaneously in late 1961 as the world's first all- electronic desktop calculators.
what was the parthenon used for?,"The Parthenon is a temple on the Athenian Acropolis , Greece, dedicated to the maiden goddess Athena , whom the people of Athens considered their patron deity."
what was the post modernist era in literature?,"Postmodern literature is literature characterized by heavy reliance on techniques like fragmentation, paradox, and questionable narrators, and is often (though not exclusively) defined as a style or trend which emerged in the post–World War II era."
what was the steelworkers strike?,"The Steel Strike of 1919 was an attempt by the weakened Amalgamated Association of Iron, Steel and Tin Workers (the AA) to organize the United States steel industry in the wake of World War I."
what were some important things that douglas MacArthur did?,"Douglas MacArthur officially accepted Japan's surrender on 2 September 1945, and oversaw the occupation of Japan from 1945 to 1951."
what westerners include in pain and suffering?,Pain and suffering is the legal term for the physical and emotional stress caused from an injury (see also pain and suffering ).
what would be the deliverables?,"A deliverable could be a report, a document, a server upgrade or any other building block of an overall project."
what year did aerosmith i dont want to miss a thing?,"""I Don't Want to Miss a Thing"" is a song performed by American rock band Aerosmith for the 1998 film Armageddon."
what year did disney's animal kingdom lodge open?,"Disney's animal kingdom lodge opened on April 16, 2001."
what year did isaac newton die?,Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution.
what year did john adams become  president?,"John Adams (October 30, 1735 ( O.S. October 19, 1735) – July 4, 1826) was the second president of the United States (1797–1801), having earlier served as the first vice president of the United States."
what year did keeping up with the kardashians begin?,"Keeping Up with the Kardashians (often referred to simply as The Kardashians) is an American reality television series that premiered on October 14, 2007, on E!."
what year did martin luther king die?,"Martin Luther King, Jr. (January 15, 1929 – April 4, 1968) was an American clergyman, activist, and leader in the African-American Civil Rights Movement."
what year did mexico gain independence from spain?,"The Mexican War of Independence (1810–1821) was an armed conflict between the people of Mexico and the Spanish colonial authorities which started on September 16, 1810."
what year did South Africa become a team in rugby?,"The side has been playing international rugby since 1891, when a British Isles side toured the nation, playing South Africa in their first Test on 30 July."
what year did the last monkeys go into space?,The Soviet Union and Russia launched monkeys between 1983 and 1996.
what year lord of rings made?,"The Lord of the Rings was written in stages between 1937 and 1949, much of it during World War II."
what year was christianity introduced to sub-saharan africa?,Christianity in Africa began in Egypt in the middle of the 1st century.
what year was elvis born?,"Elvis Aaron Presley (January 8, 1935 – August 16, 1977) was an American singer and actor."
what year was girls just want to have fun release?,"""Girls Just Want to Have Fun"" is a 1979 song originally written by Robert Hazard and made famous by singer Cyndi Lauper."
what year was gulf war?,"The Gulf War (2 August 1990 – 28 February 1991), codenamed Operation Desert Storm (17 January 1991 – 28 February 1991) was a war waged by a U.N.-authorized Coalition force from 34 nations led by the United States , against Iraq in response to Iraq's invasion and annexation of Kuwait."
what year was President kennedy president?,"John Fitzgerald ""Jack"" Kennedy (May 29, 1917 – November 22, 1963), often referred to by his initials JFK, was the 35th President of the United States , serving from 1961 until his death in 1963."
what year was smokey the bear invented?,"An advertising campaign featuring Smokey was created in 1944 with the slogan, ""Smokey Says – Care Will Prevent 9 out of 10 Forest Fires""."
what year was the 8 track invented?,"Stereo 8 was created in 1964 by a consortium led by Bill Lear of Lear Jet Corporation, along with Ampex , Ford Motor Company , General Motors , Motorola , and RCA Victor Records (RCA)."
what year was the eiffel tower made?,"Erected in 1889 as the entrance arch to the 1889 World's Fair , it has become both a global cultural icon of France and one of the most recognizable structures in the world."
what years was the 18th century?,"The 18th century lasted from January 1, 1701 to December 31, 1800 in the Gregorian calendar."
WHAT YEARS WAS THE C5 VETTE PRODUCED?,The Chevrolet Corvette (C5) is a sports car produced by the Chevrolet division of General Motors for the 1997 through 2004 model years.
